Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-November-2022,281.00,288.60,281.00,286.85,285.650166853645516646,1050921,14912,300195759.00,647999,61.66,7.60,5.85
31-October-2022,274.30,284.80,274.30,280.90,280.806662277397038251,694117,8655,194912678.00,319918,46.09,10.50,6.60
28-October-2022,289.75,289.80,279.75,284.85,283.720165671147987935,728431,10342,206670564.00,351830,48.30,10.05,-4.90
27-October-2022,283.20,292.30,283.20,288.25,289.467176988904651559,1201855,19940,347897574.00,642989,53.50,9.10,5.05
25-October-2022,281.10,282.40,278.65,280.05,281.289836631473772482,1064893,8444,299543578.00,796629,74.81,3.75,-1.05
24-October-2022,283.40,283.40,280.15,281.80,281.803487630773089746,191362,6806,53926479.00,122035,63.77,3.25,-1.60
21-October-2022,284.00,284.75,277.80,280.10,280.964333382249149214,286206,4414,80413678.00,107689,37.63,6.95,-3.90
20-October-2022,275.60,283.90,273.70,282.75,279.211007481154503708,596031,11224,166418416.00,245747,41.23,10.20,7.15
19-October-2022,280.20,282.90,276.50,277.30,280.400797160218607740,245371,4740,68802224.00,107947,43.99,6.40,-2.90
18-October-2022,281.05,284.45,279.00,279.70,281.309603888989057017,288404,4742,81130815.00,119554,41.45,5.45,-1.35
17-October-2022,285.10,285.90,277.70,279.95,284.803420757694455793,1867481,16014,531864977.00,1278110,68.44,8.20,-5.15
14-October-2022,300.00,300.00,286.50,287.85,291.498251552981810995,465556,7218,135708760.00,193191,41.50,13.50,-12.15
13-October-2022,292.00,294.90,287.40,292.90,290.877358529894861468,479748,7889,139547831.00,145835,30.40,7.50,0.90
12-October-2022,288.45,289.00,280.25,287.50,285.032352690438731777,774186,12806,220668057.00,204890,26.47,8.75,-0.95
11-October-2022,300.15,305.50,285.00,286.05,295.335433390839088612,2657705,29530,784914458.00,1660736,62.49,20.50,-14.10
10-October-2022,287.10,297.95,286.55,297.10,294.859682648617947747,507072,9858,149515089.00,148761,29.34,11.40,10.00
7-October-2022,292.45,292.50,287.20,291.80,290.016367523547096260,725461,12689,210395564.00,328807,45.32,5.30,-0.65
6-October-2022,281.40,293.50,281.40,292.45,289.424442450915397380,734599,10437,212610906.00,231174,31.47,12.10,11.05
4-October-2022,278.00,280.85,272.85,279.10,276.968866268866268866,512820,8330,142035174.00,136781,26.67,8.00,1.10
3-October-2022,270.10,273.00,265.65,268.30,268.621158705297453053,732956,14600,196887490.00,215397,29.39,7.35,-1.80
30-September-2022,261.25,271.60,260.35,270.05,266.547186877867220635,462120,8589,123176786.00,124370,26.91,11.25,8.80
29-September-2022,259.50,264.00,256.60,259.45,260.225245425685566745,818374,16884,212961575.00,281908,34.45,7.40,-0.05
28-September-2022,260.00,261.75,255.30,256.80,259.193417757763157390,782317,19410,202771417.00,337840,43.18,6.45,-3.20
